id,entry_id,label,type,name,link,graphics,component_entry_ids
entry_4,4,TITLE:mTOR signaling pathway,map,path:hsa04150,https://www.kegg.jp/dbget-bin/www_bget?hsa04150,"{""name"": ""TITLE:mTOR signaling pathway"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 150, ""y"": 58, ""width"": 220, ""height"": 25}",[]
entry_8,8,"IGF1R, CD221, IGFIR, IGFR, JTK13...",gene,hsa:3480 hsa:3643,https://www.kegg.jp/dbget-bin/www_bget?hsa:3480+hsa:3643,"{""name"": ""IGF1R, CD221, IGFIR, IGFR, JTK13..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 150, ""y"": 630, ""width"": 46, ""height"": 17}",[]
entry_9,9,"IRS1, HIRS-1",gene,hsa:3667,https://www.kegg.jp/dbget-bin/www_bget?hsa:3667,"{""name"": ""IRS1, HIRS-1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 338, ""y"": 629, ""width"": 46, ""height"": 17}",[]
entry_12,12,"P3R3URF-PIK3R3, LOC110117498-PIK3R3...",gene,hsa:110117499 hsa:5290 hsa:5291 hsa:5293 hsa:5295 hsa:5296 hsa:8503,https://www.kegg.jp/dbget-bin/www_bget?hsa:110117499+hsa:5290+hsa:5291+hsa:5293+hsa:5295+hsa:5296+hsa:8503,"{""name"": ""P3R3URF-PIK3R3, LOC110117498-PIK3R3..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 486, ""y"": 629, ""width"": 46, ""height"": 17}",[]
entry_13,13,"RAF1, CMD1NN, CRAF, NS5, Raf-1, c-Raf...",gene,hsa:5894 hsa:673,https://www.kegg.jp/dbget-bin/www_bget?hsa:5894+hsa:673,"{""name"": ""RAF1, CMD1NN, CRAF, NS5, Raf-1, c-Raf..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 338, ""y"": 524, ""width"": 46, ""height"": 17}",[]
entry_14,14,MAPK signaling pathway,map,path:hsa04010,https://www.kegg.jp/dbget-bin/www_bget?hsa04010,"{""name"": ""MAPK signaling pathway"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 239, ""y"": 489, ""width"": 103, ""height"": 35}",[]
entry_15,15,"MAPK1, ERK, ERK-2, ERK2, ERT1, MAPK2, NS13, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK...",gene,hsa:5594 hsa:5595,https://www.kegg.jp/dbget-bin/www_bget?hsa:5594+hsa:5595,"{""name"": ""MAPK1, ERK, ERK-2, ERK2, ERT1, MAPK2, NS13, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 338, ""y"": 450, ""width"": 46, ""height"": 17}",[]
entry_16,16,"HRAS, C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, RASH1, p21ras...",gene,hsa:3265 hsa:3845 hsa:4893,https://www.kegg.jp/dbget-bin/www_bget?hsa:3265+hsa:3845+hsa:4893,"{""name"": ""HRAS, C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, RASH1, p21ras..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 338, ""y"": 561, ""width"": 46, ""height"": 17}",[]
entry_18,18,"MAP2K1, CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1...",gene,hsa:5604 hsa:5605,https://www.kegg.jp/dbget-bin/www_bget?hsa:5604+hsa:5605,"{""name"": ""MAP2K1, CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 338, ""y"": 487, ""width"": 46, ""height"": 17}",[]
entry_23,23,"PTEN, 10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC1, PTEN1, PTENbeta, PTENgama, TEP1",gene,hsa:5728,https://www.kegg.jp/dbget-bin/www_bget?hsa:5728,"{""name"": ""PTEN, 10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC1, PTEN1, PTENbeta, PTENgama, TEP1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 547, ""y"": 587, ""width"": 46, ""height"": 17}",[]
entry_26,26,"PDPK1, PDK1, PDPK2, PDPK2P, PRO0461",gene,hsa:5170,https://www.kegg.jp/dbget-bin/www_bget?hsa:5170,"{""name"": ""PDPK1, PDK1, PDPK2, PDPK2P, PRO0461"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 486, ""y"": 544, ""width"": 46, ""height"": 17}",[]
entry_28,28,"AKT3, MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2...",gene,hsa:10000 hsa:207 hsa:208,https://www.kegg.jp/dbget-bin/www_bget?hsa:10000+hsa:207+hsa:208,"{""name"": ""AKT3, MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 486, ""y"": 494, ""width"": 46, ""height"": 17}",[]
entry_32,32,"TSC1, LAM, TSC...",gene,hsa:7248 hsa:7249,https://www.kegg.jp/dbget-bin/www_bget?hsa:7248+hsa:7249,"{""name"": ""TSC1, LAM, TSC..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 486, ""y"": 374, ""width"": 46, ""height"": 17}",[]
entry_34,34,"RHEB, RHEB2",gene,hsa:6009,https://www.kegg.jp/dbget-bin/www_bget?hsa:6009,"{""name"": ""RHEB, RHEB2"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 579, ""y"": 382, ""width"": 46, ""height"": 17}",[]
entry_36,36,"EIF4EBP1, 4E-BP1, 4EBP1, BP-1, PHAS-I",gene,hsa:1978,https://www.kegg.jp/dbget-bin/www_bget?hsa:1978,"{""name"": ""EIF4EBP1, 4E-BP1, 4EBP1, BP-1, PHAS-I"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 936, ""y"": 441, ""width"": 46, ""height"": 17}",[]
entry_37,37,"LPIN1, PAP1...",gene,hsa:23175 hsa:64900 hsa:9663,https://www.kegg.jp/dbget-bin/www_bget?hsa:23175+hsa:64900+hsa:9663,"{""name"": ""LPIN1, PAP1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 936, ""y"": 367, ""width"": 46, ""height"": 17}",[]
entry_38,38,"RPS6KB1, PS6K, S6K, S6K-beta-1, S6K1, STK14A, p70_S6KA, p70(S6K)-alpha, p70-S6K, p70-alpha...",gene,hsa:6198 hsa:6199,https://www.kegg.jp/dbget-bin/www_bget?hsa:6198+hsa:6199,"{""name"": ""RPS6KB1, PS6K, S6K, S6K-beta-1, S6K1, STK14A, p70_S6KA, p70(S6K)-alpha, p70-S6K, p70-alpha..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 936, ""y"": 478, ""width"": 46, ""height"": 17}",[]
entry_42,42,"RHOA, ARH12, ARHA, EDFAOB, RHO12, RHOH12",gene,hsa:387,https://www.kegg.jp/dbget-bin/www_bget?hsa:387,"{""name"": ""RHOA, ARH12, ARHA, EDFAOB, RHO12, RHOH12"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 936, ""y"": 578, ""width"": 46, ""height"": 17}",[]
entry_43,43,"PRKCA, AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA...",gene,hsa:5578 hsa:5579 hsa:5582,https://www.kegg.jp/dbget-bin/www_bget?hsa:5578+hsa:5579+hsa:5582,"{""name"": ""PRKCA, AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 936, ""y"": 614, ""width"": 46, ""height"": 17}",[]
entry_44,44,"SGK1, SGK",gene,hsa:6446,https://www.kegg.jp/dbget-bin/www_bget?hsa:6446,"{""name"": ""SGK1, SGK"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 936, ""y"": 650, ""width"": 46, ""height"": 17}",[]
entry_48,48,C05981,compound,cpd:C05981,https://www.kegg.jp/dbget-bin/www_bget?C05981,"{""name"": ""C05981"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 486, ""y"": 586, ""width"": 8, ""height"": 8}",[]
entry_50,50,107080638...,gene,hsa:107080638 hsa:51256,https://www.kegg.jp/dbget-bin/www_bget?hsa:107080638+hsa:51256,"{""name"": ""107080638..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 486, ""y"": 391, ""width"": 46, ""height"": 17}",[]
entry_52,52,"RRAGB, RAGB, bA465E19.1...",gene,hsa:10325 hsa:10670,https://www.kegg.jp/dbget-bin/www_bget?hsa:10325+hsa:10670,"{""name"": ""RRAGB, RAGB, bA465E19.1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 685, ""y"": 206, ""width"": 46, ""height"": 17}",[]
entry_53,53,"RRAGD, HOMG7, RAGD, bA11D8.2.1...",gene,hsa:58528 hsa:64121,https://www.kegg.jp/dbget-bin/www_bget?hsa:58528+hsa:64121,"{""name"": ""RRAGD, HOMG7, RAGD, bA11D8.2.1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 685, ""y"": 223, ""width"": 46, ""height"": 17}",[]
entry_59,59,"RPS6KA6, PP90RSK4, RSK-4, RSK4, S6K-alpha-6, p90RSK6...",gene,hsa:27330 hsa:6195 hsa:6196 hsa:6197,https://www.kegg.jp/dbget-bin/www_bget?hsa:27330+hsa:6195+hsa:6196+hsa:6197,"{""name"": ""RPS6KA6, PP90RSK4, RSK-4, RSK4, S6K-alpha-6, p90RSK6..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 338, ""y"": 413, ""width"": 46, ""height"": 17}",[]
entry_62,62,"PRKAA1, AMPK, AMPK_alpha_1, AMPKa1...",gene,hsa:5562 hsa:5563,https://www.kegg.jp/dbget-bin/www_bget?hsa:5562+hsa:5563,"{""name"": ""PRKAA1, AMPK, AMPK_alpha_1, AMPKa1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 338, ""y"": 284, ""width"": 46, ""height"": 17}",[]
entry_63,63,C00020,compound,cpd:C00020,https://www.kegg.jp/dbget-bin/www_bget?C00020,"{""name"": ""C00020"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 242, ""y"": 284, ""width"": 8, ""height"": 8}",[]
